BarrierID,Status,LastUpdate,Type,BarrierCk,CheckType,BarrierCk2,CheckType2,Descrip,Redev,long,lat
350,closed,09/21/18,complete,06/17,google maps,1971 and 1988,historic aerials,900-block of Morrison St at South 10th St,FALSE,-90.20062826971784,38.61543322324978
351,closed,09/21/18,complete,06/17,google maps,1971 and 1988,historic aerials,"1000-block of Morrison St at South 10th St
",FALSE,-90.20084075545037,38.61548190167637
352,closed,09/21/18,complete,06/11,google maps,1971 and 1988,historic aerials,900-block of Hickory St at South 10th St,TRUE,-90.20041921838867,38.6162311617861
353,closed,09/21/18,complete,06/11,google maps,1971 and 1988,historic aerials,1000-block of Hickory St at South 10th St,FALSE,-90.200765248004,38.616316107720735
354,closed,09/21/18,complete,06/17,google maps,1971 and 1988,historic aerials,900-block of La Salle Park Ct at South 10th St,TRUE,-90.2003910431024,38.61702984870909
355,closed,09/21/18,complete,06/17,google maps,1971 and 1988,historic aerials,1000-block of La Salle Park Ct at South 10th St,TRUE,-90.20069695982902,38.61709378680287
356,closed,09/21/18,complete,06/17,google maps,1971 and 1988,historic aerials,1100-block of South 10th St at Lebanon Dr,TRUE,-90.20044570631468,38.61736606455841
357,closed,09/21/18,complete,06/17,google maps,1996 and 1998,historic aerials,1000-block of South 10th St at Lebanon Dr,TRUE,-90.20043696893345,38.617393108704825
358,closed,09/21/18,complete,06/17,google maps,1971 and 1988,historic aerials,1000-block of Rutger St at South 11th St,TRUE,-90.20247431910013,38.61493863663391
359,closed,09/21/18,complete,06/17,google maps,NA,NA,800-block of Hickory St at South 9th St,FALSE,-90.19927550803642,38.61599943118738
360,closed,09/21/18,complete,08/17,google maps,NA,NA,200-block of Rutger St at South 3rd St,FALSE,-90.19423997766835,38.613323152169755
361,closed,09/21/18,compete,08/15,google maps,NA,NA,"200-block of Rutger St, mid-block",FALSE,-90.19362388698731,38.613126605199476
362,closed,09/21/18,partial,10/11,google maps,NA,NA,Intersection of Rosedale Ave and Westminster Pl,FALSE,-90.29630746332695,38.653306002237706
363,closed,09/21/18,partial,10/11,google maps,NA,NA,Intersection of Rosedale Ave and Kingsbury Ave,FALSE,-90.29645826885921,38.65239513682294
364,closed,09/21/18,partial,10/11,google maps,NA,NA,Intersection of Rosedale Ave and McPherson Ave,FALSE,-90.29663116458019,38.651491511119666
365,closed,09/21/18,partial,09/21/18,in-person,NA,NA,4021-block of Chouteau Ave at North Sarah St,FALSE,-90.25008886833697,38.628244204658515
366,closed,09/21/18,complete,09/21/18,in-person,NA,NA,4021-block of Chouteau Ave at Manchester Ave,FALSE,-90.24902434191912,38.62807878464843
